일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm)
 2012-01,-2.8,1.3,-6.3,6.7
 2012-02,-2,3,-6,0.8
 2012-03,5.1,9.5,1.5,47.4
 2012-04,12.3,17.9,7.8,157
 2012-05,19.7,25.1,15.4,8.2
 2012-06,24.1,29.7,20,91.9
 2012-07,25.4,29,22.4,448.9
 2012-08,27.1,30.9,23.9,464.9
 2012-09,21,25,17.4,212
 2012-10,15.3,20.5,11,99.3
 2012-11,5.5,9.5,1.8,67.8
 2012-12,-4.1,-0.5,-7.4,41.4
 2013-01,-3.4,0.3,-6.6,22.1
 2013-02,-1.2,2.8,-4.9,74.1
 2013-03,5.1,10.8,0.7,27.3
 2013-04,10,15,5.7,71.7
 2013-05,18.2,23.6,13.7,132
 2013-06,24.4,29.2,20.5,28.3
 2013-07,25.5,28.3,23.4,676.2
 2013-08,27.7,31.1,24.8,148.6
 2013-09,21.8,25.9,18,138.5
 2013-10,15.8,21.2,10.9,13.5
 2013-11,6.2,10.7,2.1,46.8
 2013-12,-0.2,3.5,-3.5,24.7
 2014-01,-0.7,3.5,-4.9,13
 2014-02,1.9,6.6,-1.8,16.2
 2014-03,7.9,13.1,3.5,7.2
 2014-04,14,19.6,9.4,31
 2014-05,18.9,25.3,13.8,63
 2014-06,23.1,27.8,19.7,98.1
 2014-07,26.1,30.6,22.9,207.9
 2014-08,25.2,29,22.1,172.8
 2014-09,22.1,27,18,88.1
 2014-10,15.6,21.4,10.7,52.2
 2014-11,9,13.8,4.9,41.5
 2014-12,-2.9,1.5,-6.7,17.9
 2015-01,-0.9,3.6,-4.8,11.3
 2015-02,1,6,-2.9,22.7
 2015-03,6.3,12.4,1,9.6
 2015-04,13.3,18.8,8.4,80.5
 2015-05,18.9,24.9,13.6,28.9
 2015-06,23.6,29.5,18.9,99
 2015-07,25.8,30,22.6,226
 2015-08,26.3,30.8,22.8,72.9
 2015-09,22.4,28.1,17.5,26
 2015-10,15.5,21.2,10.8,81.5
 2015-11,8.9,12.7,5.9,104.6
 2015-12,1.6,6,-2.1,29.1
 2016-01,-3.2,1.1,-6.8,1
 2016-02,0.2,5.1,-4.1,47.6
 2016-03,7,12.6,2.4,40.5
 2016-04,14.1,20.3,9.1,76.8
 2016-05,19.6,25.7,14.1,160.5
 2016-06,23.6,28.7,19.5,54.4
 2016-07,26.2,29.8,23.3,358.2
 2016-08,28,32.6,24.5,67.1
 2016-09,23.1,27.9,19.3,33
 2016-10,16.1,21.3,11.6,74.8
 2016-11,6.8,11.6,2.8,16.7
 2016-12,1.2,5.8,-2.7,61.1
 2017-01,-1.8,2.9,-5.8,14.9
 2017-02,-0.2,4.8,-4.7,11.1
 2017-03,6.3,12.3,1.7,7.9
 2017-04,13.9,20,9.1,61.6
 2017-05,19.5,25.4,14.4,16.1
 2017-06,23.3,28.8,18.7,66.6
 2017-07,26.9,30.4,24.3,621
 2017-08,25.9,29.7,22.9,297
 2017-09,22.1,27.4,17.5,35
 2017-10,16.4,22.5,11.6,26.5
 2017-11,5.6,10.5,1.3,40.7
 2017-12,-1.9,2.2,-5.7,34.8
 2018-01,-4,0.1,-7.3,8.5
 2018-02,-1.6,3.3,-5.9,29.6
 2018-03,8.1,13.6,3.8,49.5
 2018-04,13,18.5,8.1,130.3
 2018-05,18.2,23.3,13.4,222
 2018-06,23.1,28.4,18.9,171.5
 2018-07,27.8,32.1,24.2,185.6
 2018-08,28.8,33.3,25.2,202.6
 2018-09,21.5,26,17.6,68.5
 2018-10,13.1,18.6,8.5,120.5
 2018-11,7.8,13.2,3.6,79.1
 2018-12,-0.6,4.1,-4.7,16.4
 2019-01,-0.9,4.1,-5.1,0
 2019-02,1,6,-3.2,23.8
 2019-03,7.1,12.4,2.7,26.8
 2019-04,12.1,17.6,7.2,47.3
 2019-05,19.4,25.6,13.7,37.8
 2019-06,22.5,27.7,18.1,74
 2019-07,25.9,30.1,22.7,194.4
 2019-08,27.2,31.6,23.6,190.5
 2019-09,22.6,27.1,19,139.8
 2019-10,16.4,21.8,11.8,55.5
 2019-11,7.6,12.9,3.1,78.8
 2019-12,1.4,5.3,-2.6,22.6
 2020-01,1.6,5.9,-1.7,60.5
 2020-02,2.5,7.2,-1.3,53.1
 2020-03,7.7,13.3,2.6,16.3
 2020-04,11.1,16.6,6.3,16.9
 2020-05,18,23.3,13.7,112.4
 2020-06,23.9,29,19.9,139.6
 2020-07,24.1,28,21.1,270.4
 2020-08,26.5,29.3,24.4,675.7
 2020-09,21.4,25.6,18,181.5
 2020-10,14.3,19.5,9.6,0
 2020-11,8,12.6,4,120.1
 2020-12,-0.3,3.9,-4.2,4.6
 2021-01,-2.4,2.2,-6.8,18.9
 2021-02,2.7,7.9,-2.2,7.1
 2021-03,9,14.8,4.3,110.9
 2021-04,14.2,19.5,9.5,124.1
 2021-05,17.1,21.9,12.8,183.1
 2021-06,22.8,27.6,18.9,104.6
 2021-07,28.1,32.2,24.6,168.3
 2021-08,25.9,29.7,22.8,211.2
 2021-09,22.6,26.9,18.8,131
 2021-10,15.6,20.5,11.6,57
 2021-11,8.2,13.1,4,62.4
 2021-12,0.6,5.1,-3.5,7.9
 2022-01,-2.2,2.6,-6.2,5.5
 2022-02,-1.1,3.8,-5.3,4.7
 2022-03,7.7,12.7,3.2,102.6
 2022-04,14.8,20.6,10,20.4
 2022-05,19.1,25,13.9,7.5
 2022-06,23.3,27.5,19.8,393.8
 2022-07,27.3,31,24.2,252.3
 2022-08,,,,507.6
 평균,13.1,18,9.1,103
